Date,Close/Last,Volume,Open,High,Low
04/20/2022,$286.36,22906670,$289.4,$289.7,$285.3702
04/19/2022,$285.3,22297720,$279.38,$286.17,$278.41
04/18/2022,$280.52,20778000,$278.91,$282.46,$278.34
04/14/2022,$279.83,28221610,$288.09,$288.305,$279.32
04/13/2022,$287.62,21907180,$282.73,$288.58,$281.3
04/12/2022,$282.06,30966720,$289.235,$290.739,$280.49
04/11/2022,$285.26,34569260,$291.79,$292.61,$285
04/08/2022,$296.97,24361920,$300.44,$301.12,$296.28
04/07/2022,$301.37,31411160,$296.66,$303.65,$296.35
04/06/2022,$299.5,40110370,$305.19,$307,$296.71
04/05/2022,$310.88,23156720,$313.27,$314.865,$309.87
04/04/2022,$314.97,24335870,$310.09,$315.11,$309.71
04/01/2022,$309.42,27110530,$309.37,$310.13,$305.54
03/31/2022,$308.31,33422070,$313.9,$315.14,$307.89
03/30/2022,$313.86,28163560,$313.76,$315.95,$311.58
03/29/2022,$315.41,30393400,$313.91,$315.82,$309.05
03/28/2022,$310.7,29578190,$304.33,$310.8,$304.33
03/25/2022,$303.68,22566450,$305.23,$305.5,$299.2855
03/24/2022,$304.1,24484460,$299.14,$304.2,$298.315
03/23/2022,$299.49,25715380,$300.51,$303.23,$297.7201
03/22/2022,$304.06,27599690,$299.8,$305,$298.77
03/21/2022,$299.16,28351250,$298.89,$300.14,$294.9
03/18/2022,$300.43,43390630,$295.37,$301,$292.73
03/17/2022,$295.22,30816630,$293.29,$295.61,$289.37
03/16/2022,$294.39,37826330,$289.11,$294.57,$283.2
03/15/2022,$287.15,34245090,$280.35,$287.82,$278.725
03/14/2022,$276.44,30660750,$280.34,$285.3992,$275.82
03/11/2022,$280.07,27209330,$287.96,$289.51,$279.43
03/10/2022,$285.59,30628010,$283.02,$286.6,$280.58
03/09/2022,$288.5,35204480,$283.44,$289.6,$280.78
03/08/2022,$275.85,48159480,$277.8,$283.96,$270
03/07/2022,$278.91,43157180,$288.53,$289.69,$278.53
03/04/2022,$289.86,32369660,$294.29,$295.66,$287.165
03/03/2022,$295.92,27314470,$302.89,$303.13,$294.05
03/02/2022,$300.19,31873010,$295.36,$301.47,$293.698
03/01/2022,$294.95,31217780,$296.4,$299.97,$292.15
02/28/2022,$298.79,34627460,$294.31,$299.14,$293
02/25/2022,$297.31,32546720,$295.14,$297.63,$291.655
02/24/2022,$294.59,56989690,$272.51,$295.16,$271.52
02/23/2022,$280.27,37811170,$290.18,$291.7,$280.1
02/22/2022,$287.72,41736120,$285,$291.54,$284.5
02/18/2022,$287.93,34264010,$293.05,$293.86,$286.305
02/17/2022,$290.73,32461580,$296.36,$296.8,$290
02/16/2022,$299.5,29982120,$298.365,$300.87,$293.68
02/15/2022,$300.47,27379490,$300.008,$300.8,$297.02
02/14/2022,$295,36359490,$293.77,$296.76,$291.35
02/11/2022,$295.04,39175620,$303.19,$304.29,$294.22
